FC gene
-0.260984926182362 A1BG
2.33165889856788 A2M
-1.56435943407842 A2ML1
-0.0681710169917015 A4GALT
-0.101681841880177 AAAS
0.124077890373593 AACS
-0.262513714656748 AACSP1
0.854936037922914 AADACL2
-2.41112360322322 AADAT
0.156253260917531 AAGAB
2.03881218401207 AAK1
1.06260665214187 AAMDC
-0.332291778762512 AAMP
0.854936037922914 AANAT
0.0929686813538685 AAR2
-1.06861731371957 AARD
0.419745037734148 AARS1
-0.231868563681914 AARS2
-0.269174930849866 AARSD1
-0.932077891870037 AARSD1P1
0.0343376637486335 AASDH
-0.200840021582614 AASDHPPT
3.71415280314984 AASS
0.154827449259101 AATF
1.61157017441227 AATK
1.17464525404837 ABAT
-0.106835547590097 ABCA1
0.506396787253555 ABCA10
1.10704801256372 ABCA11P
0.854936037922914 ABCA12
0.0804614902858938 ABCA13
0.302405784230041 ABCA15P
-1.06355134294429 ABCA17P
-0.514457296807559 ABCA2
0.173712404667579 ABCA3
5.12638603550267 ABCA4
0.814303562715021 ABCA5
-1.6134868369933 ABCA6
-0.815096062124189 ABCA7
0.415132225985373 ABCA8
0.854936037922914 ABCA9
2.33306068596433 ABCB1
-0.498814980734123 ABCB10
1.76458119365343 ABCB10P1
1.01847335429293 ABCB10P3
2.1817803388529 ABCB10P4
0.929927641410491 ABCB11
3.11405315580813 ABCB4
0.750671493497155 ABCB5
-0.498469406685124 ABCB6
-0.265571632830877 ABCB7
-0.0702624265438088 ABCB8
-0.296609757885719 ABCB9
-0.177981998930303 ABCC1
0.159123713912918 ABCC10
1.18142007431948 ABCC11
1.32029101587897 ABCC13
-1.51570820066309 ABCC2
0.854936037922915 ABCC3
-0.25773215705122 ABCC4
-0.382818379077435 ABCC5
0.137667902564638 ABCC9
0.409977416055061 ABCD1
-1.06861731371957 ABCD1P2
0.807893245129474 ABCD2
0.0429461326102274 ABCD3
0.310406641635187 ABCD4
-0.518631177356909 ABCE1
0.979295841198151 ABCF1
-0.410643869915698 ABCF2
1.77384106407491 ABCF2-H2BK1
-0.431815740314834 ABCF3
1.77178881524894 ABCG1
-0.463145760028256 ABCG2
-1.92511260912401 ABCG4
1.81875868471203 ABHD1
-0.0458167182650623 ABHD10
-0.522164189070104 ABHD11
0.26617592363405 ABHD12
-0.106834983163469 ABHD12B
-0.337600711017872 ABHD13
0.164290136702785 ABHD14A
-0.950616315623365 ABHD14A-ACY1
0.265817495424062 ABHD14B
0.925312880621152 ABHD15
0.448765023910682 ABHD16A
0.854936037922915 ABHD16B
-0.186264227824783 ABHD17A
0.854936037922914 ABHD17AP4
0.854936037922914 ABHD17AP5
0.854936037922914 ABHD17AP8
-0.274466700158267 ABHD17B
1.38759267623458 ABHD17C
-0.065573836772798 ABHD18
-0.60387848717773 ABHD2
0.253261729499553 ABHD3
0.831828427576857 ABHD4
-0.354394528609226 ABHD5
